Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00   25000/25001       tinyxml2::XMLElement::IntAttribute(char const*) const [60]
                0.00    0.00   25000/25001       tinyxml2::XMLElement::BoolAttribute(char const*) const [61]
                0.00    0.00   25000/25001       tinyxml2::XMLElement::FloatAttribute(char const*) const [62]
                0.00    0.00   25000/76000       tinyxml2::XMLUtil::ToStr(int, char*, int) [88]
-----------------------------------------------
                0.00    0.00       6/323796339     tinyxml2::XMLDocument::Identify(char*, tinyxml2::XMLNode**) [79]
                0.00    0.00   75000/323796339     tinyxml2::XMLElement::FindOrCreateAttribute(char const*) [22]
                0.00    0.00  100004/323796339     tinyxml2::XMLElement::FindAttribute(char const*) const [53]
                4.59    0.00 323621329/323796339     tinyxml2::XMLNode::FirstChildElement(char const*) const [2]
[4]     32.5    4.59    0.00 323796339         tinyxml2::XMLUtil::StringEqual(char const*, char const*, int) [4]
-----------------------------------------------
                0.00    0.00   25001/323646330     tinyxml2::XMLPrinter::VisitEnter(tinyxml2::XMLElement const&, tinyxml2::XMLAttribute const*) [16]
                0.85    2.66 323621329/323646330     tinyxml2::XMLNode::FirstChildElement(char const*) const [2]
[5]     24.9    0.85    2.66 323646330         tinyxml2::XMLElement::Name() const [5]
                0.99    1.67 323646330/323646331     tinyxml2::XMLNode::Value() const [6]
-----------------------------------------------
                0.00    0.00       1/323646331     tinyxml2::XMLPrinter::Visit(tinyxml2::XMLDeclaration const&) [75]
                0.99    1.67 323646330/323646331     tinyxml2::XMLElement::Name() const [5]
[6]     18.9    0.99    1.67 323646331         tinyxml2::XMLNode::Value() const [6]
                1.67    0.00 323646331/323875335     tinyxml2::StrPair::GetStr() [7]
-----------------------------------------------
                0.00    0.00   29000/323875335     tinyxml2::XMLAttribute::Value() const [67]
                0.00    0.00  200004/323875335     tinyxml2::XMLAttribute::Name() const [57]
                1.67    0.00 323646331/323875335     tinyxml2::XMLNode::Value() const [6]
[7]     11.9    1.68    0.00 323875335         tinyxml2::StrPair::GetStr() [7]
-----------------------------------------------
                0.00    0.00       3/323621333     tinyxml2::XMLNode::ParseDeep(char*, tinyxml2::StrPair*) [74]
                0.64    0.00 323621330/323621333     tinyxml2::XMLNode::FirstChildElement(char const*) const [2]
[8]      4.5    0.64    0.00 323621333         tinyxml2::XMLElement::ToElement() [8]
-----------------------------------------------
                                                 <spontaneous>
[9]      3.9    0.00    0.55                 _fu5___ZSt4cout [9]
                0.00    0.53    1000/26005       tinyxml2::XMLNode::FirstChildElement(char const*) [1]
                0.00    0.01    1000/1000        tinyxml2::XMLNode::DeleteChild(tinyxml2::XMLNode*) [33]
                0.00    0.00    1000/76000       tinyxml2::XMLUtil::ToStr(int, char*, int) [88]
-----------------------------------------------
                                                 <spontaneous>
[10]     0.5    0.01    0.06                 _fu0___ZSt4cout [10]
                0.00    0.02   25000/25000       tinyxml2::XMLElement::SetAttribute(char const*, bool) [21]
                0.00    0.01   25000/25000       tinyxml2::XMLDocument::NewElement(char const*) [28]
                0.00    0.01   25000/25000       tinyxml2::XMLElement::SetAttribute(char const*, char const*) [40]
                0.00    0.01   25000/25000       tinyxml2::XMLElement::SetAttribute(char const*, int) [42]
                0.00    0.01   25000/25000       tinyxml2::XMLElement::SetAttribute(char const*, double) [41]
                0.00    0.00   25000/76000       tinyxml2::XMLUtil::ToStr(int, char*, int) [88]
                0.00    0.00   25000/25000       std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) [109]
                0.00    0.00   25000/25002       tinyxml2::XMLNode::InsertEndChild(tinyxml2::XMLNode*) [92]
-----------------------------------------------
                0.00    0.00   25000/150000      tinyxml2::XMLNode::SetValue(char const*, bool) [30]
                0.00    0.00   25000/150000      tinyxml2::XMLAttribute::SetName(char const*) [49]
                0.00    0.00   25000/150000      tinyxml2::XMLAttribute::SetAttribute(char const*) [46]
                0.00    0.00   25000/150000      tinyxml2::XMLAttribute::SetAttribute(int) [48]
                0.00    0.00   25000/150000      tinyxml2::XMLAttribute::SetAttribute(bool) [29]
                0.00    0.00   25000/150000      tinyxml2::XMLAttribute::SetAttribute(double) [47]
[11]     0.2    0.02    0.00  150000         tinyxml2::StrPair::SetStr(char const*, int) [11]
                0.00    0.00  150000/225007      tinyxml2::StrPair::Reset() [45]
-----------------------------------------------
                                                 <spontaneous>
[12]     0.2    0.00    0.03                 _fu8___ZSt3cin [12]
                0.00    0.03       1/1           tinyxml2::XMLDocument::Print(tinyxml2::XMLPrinter*) const [13]
                0.00    0.00       1/25002       tinyxml2::XMLPrinter::OpenElement(char const*) [43]
                0.00    0.00       1/25002       tinyxml2::XMLPrinter::CloseElement() [51]
                0.00    0.00       1/1           tinyxml2::XMLPrinter::CStrSize() const [170]
                0.00    0.00       1/1           tinyxml2::XMLPrinter::CStr() const [169]
-----------------------------------------------
                0.00    0.03       1/1           _fu8___ZSt3cin [12]
[13]     0.2    0.00    0.03       1         tinyxml2::XMLDocument::Print(tinyxml2::XMLPrinter*) const [13]
                0.00    0.03       1/1           tinyxml2::XMLDocument::Accept(tinyxml2::XMLVisitor*) const [14]
                0.00    0.00       1/2           tinyxml2::XMLPrinter::XMLPrinter(_iobuf*, bool, int) [129]
                0.00    0.00       1/2           tinyxml2::XMLPrinter::~XMLPrinter() [130]
-----------------------------------------------
                0.00    0.03       1/1           tinyxml2::XMLDocument::Print(tinyxml2::XMLPrinter*) const [13]
